Datum,Aantal klikken,Vertoningen,CTR,Positie
2026-03-01,0,2301,0%,36.7
2026-03-02,7,2466,0.28%,33.7
2026-03-03,1,2507,0.04%,33.1
2026-03-04,6,2095,0.29%,28.3
2026-03-05,0,2401,0%,28.1
2026-03-06,3,2047,0.15%,30.7
2026-03-07,0,1798,0%,30.6
2026-03-08,3,1796,0.17%,30.6
2026-03-09,8,2145,0.37%,27.8
2026-03-10,7,2489,0.28%,28.8
2026-03-11,7,2048,0.34%,28.5
2026-03-12,4,2258,0.18%,29.2
2026-03-13,3,2204,0.14%,30.6
2026-03-14,0,2031,0%,31.9
2026-03-15,1,1400,0.07%,29.8
2026-03-16,2,2165,0.09%,28.9
2026-03-17,3,2268,0.13%,29.1
2026-03-18,4,2222,0.18%,29.5
2026-03-19,3,2312,0.13%,30.6
2026-03-20,7,2555,0.27%,33.9
2026-03-21,1,2154,0.05%,34.2
2026-03-22,1,2253,0.04%,34.7
2026-03-23,3,2309,0.13%,32.1
2026-03-24,4,1529,0.26%,24.6
2026-03-25,4,1175,0.34%,22
2026-03-26,2,1224,0.16%,20.6
2026-03-27,3,1270,0.24%,23
2026-03-28,0,1168,0%,29.7
2026-03-29,1,1506,0.07%,32.4
2026-03-30,7,1685,0.42%,30.5
2026-03-31,1,1827,0.05%,29.2
2026-04-01,3,2387,0.13%,31.7
2026-04-02,5,2255,0.22%,31.4
2026-04-03,3,2256,0.13%,33.8
2026-04-04,0,1962,0%,34.5
2026-04-05,1,2110,0.05%,34.8
2026-04-06,0,1937,0%,33.1
2026-04-07,2,2115,0.09%,32.5
2026-04-08,4,1961,0.2%,31.3
2026-04-09,3,2118,0.14%,31.2
2026-04-10,4,1858,0.22%,30.7
2026-04-11,0,1629,0%,31
2026-04-12,2,1574,0.13%,31.6
2026-04-13,5,1769,0.28%,28.8
2026-04-14,5,1726,0.29%,28.6
2026-04-15,2,1693,0.12%,29.3
2026-04-16,1,1674,0.06%,30.8
2026-04-17,0,1832,0%,31.8
2026-04-18,1,1665,0.06%,33.1
2026-04-19,2,1811,0.11%,33.1
2026-04-20,2,1884,0.11%,31.5
2026-04-21,6,1742,0.34%,29.5
2026-04-22,5,1651,0.3%,29.3
2026-04-23,4,1795,0.22%,29.5
2026-04-24,1,1564,0.06%,31
2026-04-25,1,1445,0.07%,31.9
2026-04-26,0,1587,0%,32.7
2026-04-27,0,1827,0%,31.3
2026-04-28,6,1704,0.35%,30.3
2026-04-29,2,1629,0.12%,30.1
2026-04-30,1,1336,0.07%,29.4
2026-05-01,2,1240,0.16%,29.1
2026-05-02,2,1461,0.14%,32.6
2026-05-03,0,1656,0%,32
2026-05-04,2,1719,0.12%,29.2
2026-05-05,3,1692,0.18%,29
2026-05-06,5,1855,0.27%,29.9
2026-05-07,6,1840,0.33%,30
2026-05-08,0,1777,0%,31.4
2026-05-09,2,1947,0.1%,33.6
2026-05-10,1,2039,0.05%,32.5
2026-05-11,2,1750,0.11%,29.9
2026-05-12,4,1818,0.22%,29.8
2026-05-13,5,1887,0.26%,29.1
2026-05-14,1,1577,0.06%,31.8
2026-05-15,0,1524,0%,29.8
2026-05-16,0,1404,0%,29.2
2026-05-17,0,1500,0%,29.8
2026-05-18,3,1619,0.19%,28.1
2026-05-19,5,1583,0.32%,26.7
2026-05-20,1,1484,0.07%,26.2
2026-05-21,2,1428,0.14%,26.6
2026-05-22,1,1496,0.07%,28.9
2026-05-23,1,1389,0.07%,28.5
2026-05-24,0,1431,0%,28.9
2026-05-25,1,1435,0.07%,29.1
2026-05-26,2,1380,0.14%,28.7
2026-05-27,5,1383,0.36%,27.5
2026-05-28,5,1324,0.38%,27.4